接口标识,接口名称,接口地址,接口请求方式,接口参数
deleteSysUserUsingPOST,删除运营平台用户信息,https://service.bccastle.com/om/sysuser/idssysuser/deleteSysUser,post,['userid']
getSysUserUsingPOST,查看运营平台用户信息,https://service.bccastle.com/om/sysuser/idssysuser/getSysUser,post,['userid']
getUserListUsingGET_2,获取运营平台用户分页信息,https://service.bccastle.com/om/sysuser/idssysuser/getSysUserList,get,"['loginname', 'username', 'creator', 'status', 'page']"
querySysUserUsingPOST,查找登录名是否存在,https://service.bccastle.com/om/sysuser/idssysuser/querySysUser,post,['loginname']
updateStatusUsingPOST,更改用户启用或禁用状态,https://service.bccastle.com/om/sysuser/idssysuser/updateStatus,post,"['status', 'userid']"
updateSysUserUsingPOST,更新运营平台用户信息,https://service.bccastle.com/om/sysuser/idssysuser/updateSysUser,post,"['createtime', 'creator', 'loginname', 'password', 'status', 'userid', 'userlevel', 'username']"
authorizationRoleUsingPOST,用户授权,https://service.bccastle.com/om/sysuser/role/authorizationRole,post,"['userid', 'roleid']"
cancelauthorizationRoleUsingPOST,收回给用户授权的角色,https://service.bccastle.com/om/sysuser/role/cancelauthorizationRole,post,"['userid', 'roleid']"
tojoinUpAppUsingPOST,应用接入,https://service.bccastle.com/om/tojoinUpApp,post,"['result', 'entityId']"
findByIdUsingPOST_1,通过Id查询类型,https://service.bccastle.com/om/type/findById,post,['id']
typeAddUsingPOST,增加数据字典类型,https://service.bccastle.com/om/type/typeAdd,post,"['type_code', 'type_comment', 'type_name', 'userId']"
typeDeleteUsingPOST,删除数据字典类型,https://service.bccastle.com/om/type/typeDelete,post,['type_ids']
typeQueryUsingPOST,查询无分页类型列表,https://service.bccastle.com/om/type/typeQuery,post,"['type_code', 'type_comment', 'type_name']"
typeQueryListUsingPOST,分页查询类型列表,https://service.bccastle.com/om/type/typeQueryList,post,"['type_code', 'type_comment', 'type_name', 'page']"
typeUpdateUsingPOST,修改类型,https://service.bccastle.com/om/type/typeUpdate,post,"['type_code', 'type_comment', 'type_name', 'userId']"
findByIdUsingPOST_2,通过Id查询类型值,https://service.bccastle.com/om/typeValue/findById,post,['id']
findByTypeCodeUsingPOST,通过code查询类型值,https://service.bccastle.com/om/typeValue/findByTypeCode,post,['code']
typeValueAddUsingPOST,增加类型值,https://service.bccastle.com/om/typeValue/typeValueAdd,post,"['type_value_code', 'type_value_name', 'type_value', 'type_code', 'type_value_comment', 'type_code', 'type_value', 'type_value_code', 'type_value_comment', 'type_value_name', 'userId']"
typeValueDeleteUsingPOST,删除类型值类型,https://service.bccastle.com/om/typeValue/typeValueDelete,post,['type_value_ids']
typeValueQueryListUsingPOST,分页查询类型值列表,https://service.bccastle.com/om/typeValue/typeValueQueryList,post,"['type_value_code', 'type_value_name', 'type_value', 'type_code', 'type_value_comment', 'type_code', 'type_value', 'type_value_code', 'type_value_comment', 'type_value_name', 'page']"
typeValueUpdateUsingPOST,修改类型值,https://service.bccastle.com/om/typeValue/typeValueUpdate,post,"['type_value_code', 'type_value_name', 'type_value', 'type_code', 'type_value_comment', 'userId']"
upAppsUsingPOST,应用上架,https://service.bccastle.com/om/upApps,post,"['result', 'entityId']"
updatePwdPolicyUsingPOST,修改密码策略,https://service.bccastle.com/om/updatePwdPolicy,post,"['createBy', 'isEnable', 'isLongTerm', 'lowerCount', 'maxLength', 'minLength', 'numberCount', 'pwdPolicyDesc', 'pwdPolicyId', 'pwdPolicyName', 'specialCount', 'updateBy', 'upperCount']"
uploadFileUsingPOST,上传文件,https://service.bccastle.com/om/uploadFile,post,['file']
